Tweet User,Location,Following,Followers,Total Tweets,Tweet,Time of Tweet,Account Created
prosperityullc,,1013,1524,43298,A Well Needed Conversation ft  &amp;   via  strongblackwoman softgirlera pickme feminist womanking violadavis loveandmoney prosperityullc,2022-09-28 22:58:33+00:00,2009-01-19 08:09:24+00:00
Ezilidanto,New York/Haiti,1731,5429,18600,"Best analysis:""I am not boycotting womanking    you are literally oppressed every second of your life.Boycott yourself. My problem with cancel culture is compartmentalization!"" - FreeHaiti StopBlackCollaboratorsEndCoreGroupOppression",2022-09-28 22:57:10+00:00,2009-01-19 21:16:37+00:00
TammyTBroadnax,"Savannah, GA",398,297,2048,"Saw this movie this weekend, it’s well worth your time and money! womanking ",2022-09-28 22:55:33+00:00,2015-07-04 08:30:12+00:00
terriarcelia,VA/FL/ATL,252,1221,338,I don’t even have words for what WomanKing just did to my spirit.. just wow,2022-09-28 22:54:24+00:00,2010-10-11 00:16:49+00:00
NotherBrother,"Brooklyn, NY",404,1116,98943,Because WomanKing is Trending ,2022-09-28 22:46:08+00:00,2011-03-31 18:28:57+00:00
Ezilidanto,New York/Haiti,1731,5429,18600,Old interview w/ talking about women of Dahomey &amp; how they were a part of the Haytian Revolution FreeHaiti brothahassan WomanKingProbably better2 use story2study more; make more high caliber films not BoycottWomanKing or BlackPanther,2022-09-28 22:44:17+00:00,2009-01-19 21:16:37+00:00
Novice1014,,566,96,5754," They envy and hate the black race so much but obsessed with its culture, strengths weaknesses rights and wrongs. The tribe didn’t have to be perfect. We acknowledge our faults not try to erase them from history like they are currently doing. WomanKing",2022-09-28 22:36:09+00:00,2018-12-10 17:15:50+00:00
qdgeesh,,27,0,4,"Normally I don’t brag about expensive things or the fact I’m misanthropic but here it is, combined! Got the whole theater to myself! WomanKing ",2022-09-28 22:35:31+00:00,2022-09-28 17:39:53+00:00
Shamayim2,"Andalusië, Spanje",1015,2125,108952," ""It wasn't until 1852 that King Ghezo finally agreed to end Dahomey's participation in the slave trade, after years of pressure by the British government, which had abolished slavery in its colonies in 1833."" WomanKing Benin",2022-09-28 22:33:58+00:00,2010-10-03 10:14:09+00:00
terriarcelia,VA/FL/ATL,252,1221,338,WomanKing so mf powerful.. Speechless,2022-09-28 22:13:25+00:00,2010-10-11 00:16:49+00:00
Ezilidanto,New York/Haiti,1731,5429,18600,"FreeHaiti post2 Remember Dede&amp;Minos of Ayiti BlackHistory Clotilda &amp;all captives.Congrats2 ,the highly  WomanKing BoycottWomanKing _Nyongo FreeHaitiMovement continues WAR on all US-led CoreGroup nation TYRANTS &amp;their UN-EU,OAS collaborators ",2022-09-28 21:44:07+00:00,2009-01-19 21:16:37+00:00
Ezilidanto,New York/Haiti,1731,5429,18600,Add these FreeHaiti pieces of BlackHistory 4those discussing WomanKing BoycottWomanKing BlackCollaborators BlackWomenWarriors Revolution BlackEconomicLiberation RacismWhiteDomination FreePlanetEarth DestroyTheVampires FreeHaitiMovement PanAfricanism PanAmericanism ,2022-09-28 21:44:04+00:00,2009-01-19 21:16:37+00:00
Yekasumah,,42,7,27,"The Woman King is such a good movie… Seeing the women fight to victory really uplifted my spirit.  You’re a force, you’re powerful… This was more than a movie WomanKing poundcrash ",2022-09-28 21:43:00+00:00,2021-12-31 07:42:54+00:00
